Const,Your Rating,Date Rated,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
tt0190590,8,2026-01-19,"O Brother, Where Art Thou?","O Brother, Where Art Thou?",https://www.imdb.com/title/tt0190590,Movie,7.7,107,2000,"Music, Drama, Adventure, Crime, Comedy",348727,"2001-02-02","Joel Coen,Ethan Coen"
tt5638642,7,2026-01-19,"The Ritual","The Ritual",https://www.imdb.com/title/tt5638642,Movie,6.4,94,2017,"Horror, Mystery, Thriller",139720,"2018-02-09","David Bruckner"
tt4123432,7,2026-01-19,"Fantastic Beasts: The Secrets of Dumbledore","Fantastic Beasts: The Secrets of Dumbledore",https://www.imdb.com/title/tt4123432,Movie,6.2,142,2022,"Fantasy, Adventure",190184,"2022-04-15","David Yates"
tt0118715,8,2026-01-19,"The Big Lebowski","The Big Lebowski",https://www.imdb.com/title/tt0118715,Movie,8.1,117,1998,"Crime, Comedy",909447,"1998-03-06","Joel Coen,Ethan Coen"
tt5334704,7,2026-01-18,"Twin Peaks: The Missing Pieces","Twin Peaks: The Missing Pieces",https://www.imdb.com/title/tt5334704,Movie,7.5,91,2014,"Drama, Horror, Mystery, Thriller",15196,"2014-08-01","David Lynch"
tt2267998,9,2026-01-18,"Gone Girl","Gone Girl",https://www.imdb.com/title/tt2267998,Movie,8.1,149,2014,"Thriller, Drama, Mystery",1154396,"2014-10-03","David Fincher"
tt0119174,9,2026-01-18,"The Game","The Game",https://www.imdb.com/title/tt0119174,Movie,7.7,129,1997,"Drama, Thriller, Mystery",464953,"1997-09-12","David Fincher"
tt4287320,6,2026-01-17,"The Circle","The Circle",https://www.imdb.com/title/tt4287320,Movie,5.4,110,2017,"Sci-Fi, Thriller, Drama, Mystery",104794,"2017-04-28","James Ponsoldt"
tt0208092,8,2026-01-17,"Snatch","Snatch",https://www.imdb.com/title/tt0208092,Movie,8.2,102,2000,"Comedy, Crime",967664,"2001-01-19","Guy Ritchie"
tt9218128,5,2026-01-16,"Gladiator II","Gladiator II",https://www.imdb.com/title/tt9218128,Movie,6.5,148,2024,"Action, Adventure, Drama",286153,"2024-11-22","Ridley Scott"
tt1431045,6,2026-01-16,"Deadpool","Deadpool",https://www.imdb.com/title/tt1431045,Movie,8.0,108,2016,"Action, Sci-Fi, Comedy",1238844,"2016-02-12","Tim Miller"
tt11564570,8,2026-01-16,"Glass Onion","Glass Onion",https://www.imdb.com/title/tt11564570,Movie,7.1,139,2022,"Crime, Thriller, Drama, Mystery, Comedy",512250,"2022-12-23","Rian Johnson"
tt0105665,8,2026-01-16,"Twin Peaks: Fire Walk with Me","Twin Peaks: Fire Walk with Me",https://www.imdb.com/title/tt0105665,Movie,7.3,134,1992,"Horror, Drama, Mystery, Thriller",117305,"1992-08-28","David Lynch"
tt1312221,9,2026-01-06,"Frankenstein","Frankenstein",https://www.imdb.com/title/tt1312221,Movie,7.5,149,2025,"Horror, Sci-Fi, Drama, Fantasy",236290,"2025-11-07","Guillermo del Toro"
tt31434030,6,2026-01-06,"Dracula","Dracula: A Love Tale",https://www.imdb.com/title/tt31434030,Movie,6.2,129,2025,"Fantasy, Horror, Romance",21773,"2026-02-06","Luc Besson"
tt14849194,9,2025-12-26,"The Holdovers","The Holdovers",https://www.imdb.com/title/tt14849194,Movie,7.9,133,2023,"Comedy, Drama",241800,"2023-11-10","Alexander Payne"
tt0038650,10,2025-12-26,"It's a Wonderful Life","It's a Wonderful Life",https://www.imdb.com/title/tt0038650,Movie,8.6,130,1946,"Family, Fantasy, Romance, Drama",549952,"1947-01-07","Frank Capra"
tt14364480,9,2025-12-26,"Wake Up Dead Man","Wake Up Dead Man",https://www.imdb.com/title/tt14364480,Movie,7.4,144,2025,"Thriller, Comedy, Crime, Drama, Mystery",183376,"2025-12-12","Rian Johnson"
tt10370710,7,2025-12-07,"The Worst Person in the World","Verdens verste menneske",https://www.imdb.com/title/tt10370710,Movie,7.7,128,2021,"Comedy, Drama, Romance",121444,"2021-10-13","Joachim Trier"
tt0099785,8,2025-12-07,"Home Alone","Home Alone",https://www.imdb.com/title/tt0099785,Movie,7.8,103,1990,"Comedy, Family",734007,"1990-11-16","Chris Columbus"
tt0208502,10,2025-11-28,"Angel's Egg","Tenshi no tamago",https://www.imdb.com/title/tt0208502,Video,7.5,71,1985,"Animation, Sci-Fi, Fantasy, Drama, Mystery",15731,"2025-12-22","Mamoru Oshii"
tt0347840,7,2025-11-25,"Rabbits","Rabbits",https://www.imdb.com/title/tt0347840,Short,6.9,43,2002,"Short, Fantasy, Drama, Horror, Mystery, Thriller",9015,"2002-06-09","David Lynch"
tt0460829,8,2025-11-25,"Inland Empire","Inland Empire",https://www.imdb.com/title/tt0460829,Movie,6.8,180,2006,"Mystery, Drama, Thriller, Fantasy",68080,"2007-02-07","David Lynch"
tt29536228,4,2025-11-19,"EXmas","EXmas",https://www.imdb.com/title/tt29536228,Movie,5.7,93,2023,"Comedy",7163,"2023-11-17","Jonah Feingold"
tt32332404,5,2025-11-19,"Keeper","Keeper",https://www.imdb.com/title/tt32332404,Movie,5.5,99,2025,"Horror",13158,"2025-11-14","Osgood Perkins"
tt0154506,9,2025-11-18,"Following","Following",https://www.imdb.com/title/tt0154506,Movie,7.4,69,1998,"Crime, Thriller, Mystery",108800,"1999-11-05","Christopher Nolan"
tt0278504,7,2025-11-17,"Insomnia","Insomnia",https://www.imdb.com/title/tt0278504,Movie,7.2,118,2002,"Mystery, Drama, Thriller",338493,"2002-05-24","Christopher Nolan"
tt1187064,8,2025-11-16,"Triangle","Triangle",https://www.imdb.com/title/tt1187064,Movie,6.9,99,2009,"Thriller, Mystery, Sci-Fi, Fantasy",146175,"2009-10-16","Christopher Smith"
tt30144839,9,2025-11-16,"One Battle After Another","One Battle After Another",https://www.imdb.com/title/tt30144839,Movie,7.8,161,2025,"Crime, Drama, Thriller, Action",281147,"2025-09-26","Paul Thomas Anderson"
tt15239678,9,2025-11-16,"Dune: Part Two","Dune: Part Two",https://www.imdb.com/title/tt15239678,Movie,8.4,166,2024,"Adventure, Drama, Sci-Fi, Action",709849,"2024-03-01","Denis Villeneuve"
tt3918686,2,2025-11-11,"The Christmas Dragon","The Christmas Dragon",https://www.imdb.com/title/tt3918686,Movie,4.4,106,2014,"Adventure, Fantasy, Drama",984,"2014-11-07","John Lyde"
tt14948432,4,2025-11-11,"Red One","Red One",https://www.imdb.com/title/tt14948432,Movie,6.2,123,2024,"Action, Adventure, Comedy, Mystery, Fantasy",157316,"2024-11-15","Jake Kasdan"
tt0041719,9,2025-11-11,"Orpheus","Orphée",https://www.imdb.com/title/tt0041719,Movie,7.8,112,1950,"Drama, Romance, Fantasy",14376,"1950-11-29","Jean Cocteau"
tt0021331,6,2025-11-11,"The Blood of a Poet","Le sang d'un poète",https://www.imdb.com/title/tt0021331,Movie,7.2,55,1932,"Fantasy",7903,"2010-05-20","Jean Cocteau"
tt19770238,8,2025-11-10,"Aftersun","Aftersun",https://www.imdb.com/title/tt19770238,Movie,7.6,102,2022,"Drama",124019,"2022-11-18","Charlotte Wells"
tt8613070,9,2025-11-10,"Portrait of a Lady on Fire","Portrait de la jeune fille en feu",https://www.imdb.com/title/tt8613070,Movie,8.0,122,2019,"Drama, Romance",124863,"2020-02-14","Céline Sciamma"
tt31688586,8,2025-11-10,"Nouvelle Vague","Nouvelle Vague",https://www.imdb.com/title/tt31688586,Movie,7.3,106,2025,"Comedy, Biography, Drama, History",7160,"2025-11-14","Richard Linklater"
tt0053472,8,2025-11-09,"Breathless","À bout de souffle",https://www.imdb.com/title/tt0053472,Movie,7.6,90,1960,"Drama, Crime",93990,"1961-02-07","Jean-Luc Godard"
tt23770030,9,2025-11-08,"Memoir of a Snail","Memoir of a Snail",https://www.imdb.com/title/tt23770030,Movie,7.8,95,2024,"Animation, Drama",24077,"2025-07-29","Adam Elliot"
tt4772188,7,2025-11-08,"Flow","Straume",https://www.imdb.com/title/tt4772188,Movie,7.9,85,2024,"Animation, Adventure, Fantasy, Family",120686,"2025-02-14","Gints Zilbalodis"
tt0382932,10,2025-11-08,"Ratatouille","Ratatouille",https://www.imdb.com/title/tt0382932,Movie,8.1,111,2007,"Animation, Comedy, Family, Fantasy, Adventure",926387,"2007-06-29","Brad Bird,Jan Pinkava"
tt0181689,8,2025-11-03,"Minority Report","Minority Report",https://www.imdb.com/title/tt0181689,Movie,7.6,145,2002,"Crime, Sci-Fi, Mystery, Thriller, Action",615999,"2002-06-21","Steven Spielberg"
tt1446714,6,2025-11-03,"Prometheus","Prometheus",https://www.imdb.com/title/tt1446714,Movie,7.0,124,2012,"Adventure, Sci-Fi",691183,"2012-06-08","Ridley Scott"
tt0088763,10,2025-11-03,"Back to the Future","Back to the Future",https://www.imdb.com/title/tt0088763,Movie,8.5,116,1985,"Comedy, Sci-Fi, Adventure",1432023,"1985-07-03","Robert Zemeckis"
tt0172495,10,2025-11-03,"Gladiator","Gladiator",https://www.imdb.com/title/tt0172495,Movie,8.5,155,2000,"Adventure, Drama, Action",1823601,"2000-05-05","Ridley Scott"
tt0069090,10,2025-11-02,"Pink Floyd: Live at Pompeii","Pink Floyd: Live at Pompeii",https://www.imdb.com/title/tt0069090,Movie,8.6,92,1972,"Documentary, Music",11356,"1972-10-25","Adrian Maben"
tt2446042,5,2025-11-02,"Taken 3","Taken 3",https://www.imdb.com/title/tt2446042,Movie,6.0,108,2014,"Action, Thriller, Crime",213635,"2015-01-09","Olivier Megaton"
tt1397280,6,2025-11-02,"Taken 2","Taken 2",https://www.imdb.com/title/tt1397280,Movie,6.2,92,2012,"Action, Thriller, Crime",335141,"2012-10-05","Olivier Megaton"
tt0260866,7,2025-11-02,"Don't Say a Word","Don't Say a Word",https://www.imdb.com/title/tt0260866,Movie,6.3,113,2001,"Drama, Mystery, Thriller",64917,"2001-09-28","Gary Fleder"